ref,greek,lemma,pos,didakta,rel,syn,line,didakta_1,didakta_2,didakta_3,didakta_4
2274106.1,μῆνις,μῆνιν,n-s---fa-,AccObj.,2274106.2,OBJ,Ref=1.1,AccObj.,,,
2274106.2,ἀείδω,ἄειδε,v2spma---,PresNoni. | ImprComm. | Act.,2274106.32,PRED_CO,Ref=1.1,PresNoni.,ImprComm.,Act.,
2274106.3,θεά,θεά,n-s---fv-,Voc. ,2274106.2,ExD,Ref=1.1,Voc.,,,
2274106.4,Πηληιάδης,Πηληϊάδεω,n-s---mg-,Agr.,2274106.5,ATR,Ref=1.1,Agr.,,,
2274106.5,Ἀχιλλεύς,Ἀχιλῆος,n-s---mg-,GenSubj. ,2274106.1,ATR,Ref=1.1,GenSubj.,,,
2274106.6,οὐλόμενος,οὐλομένην,a-s---fa-,Agr.,2274106.1,ATR,Ref=1.2|SpaceAfter=No,Agr.,,,
,,,,,,,Ref=1.2,,,,
2274106.6,ὅς,ἣ,p-s---fn-,NomSubj. ,2274106.23,SBJ,Ref=1.2,NomSubj.,,,
2274106.9,μυρίος,μυρί’,a-p---na-,Agr.,2274106.11,ATR,Ref=1.2,Agr.,,,
2274106.1,Ἀχαιός,Ἀχαιοῖς,a-p---md-,DatVerb. ,2274106.12,OBJ,Ref=1.2,DatVerb.,,,
2274106.11,ἄλγος,ἄλγε’,n-p---na-,AccObj. ,2274106.12,OBJ,Ref=1.2,AccObj.,,,
2274106.12,τίθημι,ἔθηκε,v3saia---,Aor. | Ind. | Act.,2274106.23,ATR_CO,Ref=1.2|SpaceAfter=No,Aor.,Ind.,Act.,
2274106.14,πολύς,πολλάς,a-p---fa-,,2274106.17,ATR,Ref=1.2,,,,
2274106.15,δέ,δ’,g--------,Agr.,2274106.23,AuxY,Ref=1.3,Agr.,,,
2274106.16,ἴφθιμος,ἰφθίμους,a-p---ma-,,2274106.17,ATR,Ref=1.3,,,,
2274106.17,ψυχή,ψυχάς,n-p---fa-,Agr.,2274106.19,OBJ,Ref=1.3,Agr.,,,
2274106.18,Ἅιδης,Ἄϊδι,n-s---md-,AccObj. ,2274106.19,OBJ,Ref=1.3,AccObj.,,,
2274106.19,προιάπτω,προΐαψεν,v3saia---,DatVerb.,2274106.23,ATR_CO,Ref=1.3,DatVerb.,,,
2274106.2,ἥρως,ἡρώων,n-p---mg-,Aor. | Ind. | Act.,,ATR,Ref=1.3,Aor.,Ind.,Act.,
,,,,GenPos. ,,,Ref=1.4|SpaceAfter=No,GenPos.,,,
,,,,,,,Ref=1.4,,,,
2274106.22,αὐτός,αὐτούς,a-p---ma-,AccObj.,2274106.25,OBJ,Ref=1.4,AccObj.,,,
2274106.23,δέ,δέ,g--------,,2274106.1,COORD,Ref=1.4,,,,
2274106.24,ἑλώριον,ἑλώρια,n-p---na-,AccDoubl. ,2274106.25,OCOMP,Ref=1.4,AccDoubl.,,,
2274106.25,τεύχω,τεῦχε,v3siia---,ImpfCons. | Ind.| Act.,2274106.23,ATR_CO,Ref=1.4,ImpfCons.,Ind.,Act.,
2274106.26,κύων,κύνεσσιν,n-p---md-,DatVerb.,2274106.28,OBJ_CO,Ref=1.4,DatVerb.,,,
2274106.27,οἰωνός,οἰωνοῖσί,n-p---md-,DatVerb.,2274106.28,OBJ_CO,Ref=1.5,DatVerb.,,,
2274106.28,τε,τε,g--------,,2274106.25,COORD,Ref=1.5,,,,
2274106.29,πᾶς,πᾶσι,a-p---md-,Agr.,2274106.27,ATR,Ref=1.5|SpaceAfter=No,Agr.,,,
,,,,,,,Ref=1.5,,,,
2274106.31,Ζεύς,Διός,n-s---mg-,GenPos. ,2274106.34,ATR,Ref=1.5,GenPos.,,,
2274106.32,δέ,δ’,g--------,,2274106.0,COORD,Ref=1.5,,,,
2274106.33,τελέω,ἐτελείετο,v3siie---,Impf. | Ind. | MidSpon.,2274106.32,PRED_CO,Ref=1.5,Impf.,Ind.,MidSpon.,
2274106.34,βουλή,βουλή,n-s---fn-,NomSubj.,2274106.33,SBJ,Ref=1.5|SpaceAfter=No,NomSubj.,,,
,,,,,,,Ref=1.5,,,,
2274106.36,ἐκ,ἐξ,r--------,,2274106.41,AuxP,Ref=1.6,,,,
2274106.36,ὅς,οὗ,p-s---mg-,GBP,2274106.36,ADV,Ref=1.6,GBP,,,
2274106.38,δή,δή,g--------,,2274106.41,AuxY,Ref=1.6,,,,
2274106.38,ὁ,τὰ,l-p---na-,,2274106.4,ATR,Ref=1.6,,,,
2274106.4,πρῶτος,πρῶτα,a-p---na-,AccAdv. ,2274106.41,ADV,Ref=1.6,AccAdv.,,,
2274106.41,διίστημι,διαστήτην,v3daia---,Aor. | Ind.| Act.,2274106.33,ADV,Ref=1.6,Aor.,Ind.,Act.,
2274106.42,ἐρίζω,ἐρίσαντε,v-dapamn-,AorNoni. | PartCirc. | Act. | Agr.,2274106.41,ADV,Ref=1.6,AorNoni.,PartCirc.,Act.,Agr.
2274106.43,Ἀτρείδης,Ἀτρεΐδης,n-s---mn-,NomSubj.,2274106.47,SBJ_CO,Ref=1.7,NomSubj.,,,
2274106.44,τε,τε,g--------,,2274106.47,AuxY,Ref=1.7,,,,
2274106.45,ἄναξ,ἄναξ,n-s---mn-,Agr.,2274106.43,ATR,Ref=1.7,Agr.,,,
2274106.46,ἀνήρ,ἀνδρῶν,n-p---mg-,GenObj. ,2274106.45,ATR,Ref=1.7,GenObj.,,,
2274106.47,καί,καί,c--------,,2274106.41,COORD,Ref=1.7,,,,
2274106.48,δῖος,δῖος,a-s---mn-,Agr.,2274106.49,ATR,Ref=1.7,Agr.,,,
2274106.49,Ἀχιλλεύς,Ἀχιλλεύς,n-s---mn-,NomSubj.,2274106.47,SBJ_CO,Ref=1.7|SpaceAfter=No,NomSubj.,,,
,,,,,,,Ref=1.7,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2274106.49,τίς,τίς,x--------,,2274107.7,SBJ,Ref=1.8,,,,
2274107.2,τε,τ’,g--------,,2274107.7,AuxY,Ref=1.8,,,,
2274107.2,ἄρα,ἄρ,g--------,,2274107.7,AuxY,Ref=1.8,,,,
2274107.2,σφεῖς,σφωε,p-d---ma-,AccObj. ,2274107.7,OBJ,Ref=1.8,AccObj.,,,
2274107.5,θεός,θεῶν,n-p---mg-,GenPart.,2274107.1,ATR,Ref=1.8,GenPart.,,,
2274107.6,ἔρις,ἔριδι,n-s---fd-,DatMean.,2274107.8,ADV,Ref=1.8,DatMean.,,,
2274107.7,συνίημι,ξυνέηκε,v3saia---,Aor. | Ind. | Act.,2274107.0,PRED,Ref=1.8,Aor.,Ind.,Act.,
2274107.8,μάχομαι,μάχεσθαι,v--pne---,PresNoni. | InfDyn. | MidRecip. ,2274107.7,ADV,Ref=1.8|SpaceAfter=No,PresNoni.,InfDyn.,MidRecip.,
,,,,,,,Ref=1.8,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,_,,,,
2274108.1,Λητώ,Λητοῦς,n-s---fg-,GenPos. ,2274108.2,ATR_CO,Ref=1.9,GenPos.,,,
2274108.2,καί,καί,c--------,,2274108.4,COORD,Ref=1.9,,,,
2274108.3,Ζεύς,Διός,n-s---mg-,GenPos.  ,2274108.2,ATR_CO,Ref=1.9,GenPos.,,,
2274108.4,υἱός,υἱός,n-s---mn-,NomInd.,2274108.6,SBJ,Ref=1.9|SpaceAfter=No,NomInd.,,,
,,,,,,,Ref=1.9,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2274108.4,ὁ,ὃ,p-s---mn-,NomSubj.,2274109.8,SBJ,Ref=1.9,NomSubj.,,,
2274109.2,γάρ,γάρ,g--------,,2274109.8,AuxY,Ref=1.9,,,,
2274109.3,βασιλεύς,βασιλῆϊ,n-s---md-,DatCaus.,2274109.4,OBJ,Ref=1.9,DatCaus.,,,
2274109.4,χολόω,χολωθείς,v-sappmn-,AorNoni. | PartCirc. | Pass. | Agr.,2274109.8,ADV,Ref=1.9,AorNoni.,PartCirc.,Pass.,Agr.
2274109.5,νόσος,νοῦσον,n-s---fa-,AccObj. ,2274109.8,OBJ,Ref=1.10,AccObj.,,,
2274109.6,ἀνά,ἀνά,r--------,Prep4.,2274109.8,AuxP,Ref=1.10,Prep4.,,,
2274109.7,στρατός,στρατόν,n-s---ma-,GBP,2274109.6,OBJ,Ref=1.10,GBP,,,
2274109.8,ὄρνυμι,ὄρσε,v3saia---,Aor. | Ind.| Act.,2274109.12,PRED_CO,Ref=1.10,Aor.,Ind.,Act.,
2274109.9,κακός,κακήν,a-s---fa-,Agr.,2274109.5,ATR,Ref=1.10|SpaceAfter=No,Agr.,,,
,,,,,,,Ref=1.10,,,,
2274109.11,ὀλέκω,ὀλέκοντο,v3piie---,ImpfCons. | Ind. | Pass. ,2274109.12,PRED_CO,Ref=1.10,ImpfCons.,Ind.,Pass.,
2274109.12,δέ,δέ,g--------,,2274109.0,COORD,Ref=1.10,,,,
2274109.13,λαός,λαοί,n-p---mn-,NomSubj.,2274109.11,SBJ,Ref=1.10|SpaceAfter=No,NomSubj.,,,
,,,,,,,Ref=1.10,,,,
2274109.15,οὕνεκα,οὕνεκα,c--------,,2274109.12,AuxC,Ref=1.11,,,,
2274109.15,ὁ,τὸν,l-s---ma-,Agr.,2274109.17,ATR,Ref=1.11,Agr.,,,
2274109.17,Χρύσης,Χρύσην,n-s---ma-,AccObj. ,2274109.18,OBJ,Ref=1.11,AccObj.,,,
2274109.18,ἀτιμάζω,ἠτίμασεν,v3saia---,Aor.| Ind. | Act.,2274109.15,ADV,Ref=1.11,Aor.,Ind.,Act.,
2274109.19,ἀρητήρ,ἀρητῆρα,n-s---fa-,Agr.,2274109.17,ATR,Ref=1.11,Agr.,,,
2274109.2,Ἀτρείδης,Ἀτρεΐδης,n-s---mn-,NomSubj.,2274109.18,SBJ,Ref=1.12|SpaceAfter=No,NomSubj.,,,
,,,,,,,Ref=1.12,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2274109.2,ὁ,ὃ,p-s---mn-,NomSubj.,2274110.26,SBJ,Ref=1.12,NomSubj.,,,
2274110.2,γάρ,γάρ,g--------,,2274110.3,AuxY,Ref=1.12,,,,
2274110.3,ἔρχομαι,ἦλθε,v3saia---,Aor. | Ind.| Act.,2274110.26,PRED_CO,Ref=1.12,Aor.,Ind.,Act.,
2274110.4,θοός,θοάς,a-p---fa-,Agr.,2274110.6,ATR,Ref=1.12,Agr.,,,
2274110.5,ἐπί,ἐπί,r--------,Prep3.,2274110.3,AuxP,Ref=1.12,Prep3.,,,
2274110.6,ναῦς,νῆας,n-p---fa-,GBP,2274110.5,OBJ,Ref=1.12,GBP,,,
2274110.7,Ἀχαιός,Ἀχαιῶν,a-p---mg-,GenPos. ,2274110.6,ATR,Ref=1.12,GenPos.,,,
2274110.8,λύω,λυσόμενός,v-sfpmmn-,FutNoni. | PartSupp. | MidIndir. | Agr.,2274110.12,ADV_CO,Ref=1.13,FutNoni.,PartSupp.,MidIndir.,Agr.
2274110.9,τε,τε,g--------,,2274110.12,AuxY,Ref=1.13,,,,
2274110.1,θυγάτηρ,θύγατρα,n-s---fa-,AccObj. ,2274110.8,OBJ,Ref=1.13,AccObj.,,,
2274110.11,φέρω,φέρων,v-sppamn-,PresNoni. | PartCirc. |Act. | Agr.,2274110.12,ADV_CO,Ref=1.13,PresNoni.,PartCirc.,Act.,Agr.
2274110.12,τε,τ’,g--------,,2274110.15,COORD,Ref=1.13,,,,
2274110.13,ἀπερείσιος,ἀπερείσι’,a-p---na-,Agr.,2274110.14,ATR,Ref=1.13,Agr.,,,
2274110.14,ἄποινα,ἄποινα,n-p---na-,AccObj. ,2274110.11,OBJ,Ref=1.13|SpaceAfter=No,AccObj.,,,
,,,,,,,Ref=1.13,,,,
2274110.16,στέμμα,στέμματ’,n-p---na-,AccObj. ,2274110.17,OBJ,Ref=1.14,AccObj.,,,
2274110.17,ἔχω,ἔχων,v-sppamn-,PresNoni. | PartCirc. |Act. | Agr.,2274110.15,ADV_CO,Ref=1.14,PresNoni.,PartCirc.,Act.,Agr.
2274110.18,ἐν,ἐν,r--------,Prep3.,2274110.17,AuxP,Ref=1.14,Prep3.,,,
2274110.18,χείρ,χερσὶν,n-p---fd-,GBP,2274110.18,OBJ,Ref=1.14,GBP,,,
2274110.2,ἑκηβόλος,ἑκηβόλου,a-s---mg-,Agr.,2274110.21,ATR,Ref=1.14,Agr.,,,
2274110.21,Ἀπόλλων,Ἀπόλλωνος,n-s---mg-,GenPos. ,2274110.16,ATR,Ref=1.14,GenPos.,,,
2274110.22,χρύσεος,χρυσέῳ,a-s---nd-,Agr.,2274110.24,ATR,Ref=1.15,Agr.,,,
2274110.23,ἀνά,ἀνά,r--------,Prep3.,2274110.17,AuxP,Ref=1.15,Prep3.,,,
2274110.24,σκῆπτρον,σκήπτρῳ,n-s---nd-,GBP,2274110.23,ADV,Ref=1.15|SpaceAfter=No,GBP,,,
,,,,,,,Ref=1.15,,,,
2274110.26,καί,καί,c--------,,2274110.0,COORD,Ref=1.15,,,,
2274110.27,λίσσομαι,λίσσετο,v3siie---,Impf. | Ind. | MidSpee. ,2274110.26,PRED_CO,Ref=1.15,Impf.,Ind.,MidSpee.,
2274110.28,πᾶς,πάντας,a-p---ma-,Agr.,2274110.29,ATR,Ref=1.15,Agr.,,,
2274110.29,Ἀχαιός,Ἀχαιούς,a-p---ma-,AccObj. ,2274110.32,OBJ_CO,Ref=1.15|SpaceAfter=No,AccObj.,,,
,,,,,,,Ref=1.15,,,,
2274110.31,Ἀτρείδης,Ἀτρεΐδα,n-d---ma-,Agr.,2274110.35,OBJ_AP_CO,Ref=1.16,Agr.,,,
2274110.32,δέ,δέ,g--------,,2274110.27,COORD,Ref=1.16,,,,
2274110.33,μάλιστα,μάλιστα,d--------,,2274110.31,AuxZ,Ref=1.16,,,,
2274110.34,δύο,δύω,m--------,,2274110.31,ATR,Ref=1.16|SpaceAfter=No,,,,
,,,,,,,Ref=1.16,,,,
2274110.36,κοσμήτωρ,κοσμήτορε,n-d---ma-,AccObj. ,2274110.35,OBJ_AP_CO,Ref=1.16,AccObj.,,,
2274110.37,λαός,λαῶν,n-p---mg-,GenObj.,2274110.36,ATR,Ref=1.16|SpaceAfter=No,GenObj.,,,
,,,,,,,Ref=1.16,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2274111.1,Ἀτρείδης,Ἀτρεΐδαι,n-p---mv-,Voc. ,2274111.3,ExD_CO,Ref=1.17,Voc.,,,
2274111.2,τε,τε,g--------,,2274111.3,AuxY,Ref=1.17,,,,
2274111.3,καί,καί,c--------,,2274111.11,COORD,Ref=1.17,,,,
2274111.4,ἄλλος,ἄλλοι,a-p---mv-,Agr.,2274111.6,ATR,Ref=1.17,Agr.,,,
2274111.5,ἐυκνήμις,ἐϋκνήμιδες,a-p---mv-,Agr.,2274111.6,ATR,Ref=1.17,Agr.,,,
2274111.6,Ἀχαιός,Ἀχαιοί,a-p---mv-,Voc. ,2274111.3,ExD_CO,Ref=1.17|SpaceAfter=No,Voc.,,,
,,,,,,,Ref=1.17,,,,
2274111.6,σύ,ὑμῖν,p-p----d-,DatVerb. ,2274111.11,OBJ,Ref=1.18,DatVerb.,,,
2274111.9,μέν,μέν,g--------,,2274111.11,AuxY,Ref=1.18,,,,
2274111.1,θεός,θεοί,n-p---mn-,NomSubj.,2274111.11,SBJ,Ref=1.18,NomSubj.,,,
2274111.11,δίδωμι,δοῖεν,v3paoa---,AorNoni.  | OptWish. | Act. ,2274111.0,PRED,Ref=1.18,AorNoni.,OptWish.,Act.,
2274111.12,Ὀλύμπιος,Ὀλύμπια,a-p---na-,Agr.,2274111.13,ATR,Ref=1.18,Agr.,,,
2274111.13,δῶμα,δώματ’,n-p---na-,AccObj. ,2274111.14,OBJ,Ref=1.18,AccObj.,,,
2274111.14,ἔχω,ἔχοντες,v-pppamn-,PresNoni. | PartAttr. | Act. |Agr. ,2274111.1,ATR,Ref=1.18,PresNoni.,PartAttr.,Act.,Agr.
2274111.15,ἐκπέρθω,ἐκπέρσαι,**,AorNoni.  |InfDyn. | Act. ,2274111.2,OBJ_CO,Ref=1.19,AorNoni.,InfDyn.,Act.,
2274111.16,Πρίαμος,Πριάμοιο,n-s---mg-,GenPos. ,2274111.17,ATR,Ref=1.19,GenPos.,,,
2274111.17,πόλις,πόλιν,n-s---fa-,AccObj. ,2274111.15,OBJ,Ref=1.19|SpaceAfter=No,AccObj.,,,
,,,,,,,Ref=1.19,,,,
2274111.19,εὖ,εὖ,d--------,,2274111.22,ADV,Ref=1.19,,,,
2274111.2,δέ,δ’,g--------,,2274111.11,COORD,Ref=1.19,,,,
2274111.21,οἴκαδε,οἴκαδ’,d--------,,2274111.22,OBJ,Ref=1.19,,,,
