ref,greek,lemma,pos,didakta,rel,syn,line,didakta_1,didakta_2,didakta_3,didakta_4,didakta_combined
1,Ἠὼς,ἠώς,n-s---fn-,NomSubj,8.0,SBJ,5.1,NomSubj,,,,NomSubj
2,δ',δέ,g--------,particle indeclform,0.0,COORD,5.1,,,,,
3,ἐκ,ἐκ,r--------,Prep3,8.0,AuxP,5.1,,,,,
4,λεχέων,λέχος,n-p---ng-,GenSep (Prep3),3.0,OBJ,5.1,GenSep (Prep3),,,,GenSep (Prep3)
5,παρ',παρά,r--------,Prep5,8.0,AuxP,5.1,,,,,
6,ἀγαυοῦ,ἀγαυός,a-s---mg-,GenSep (Prep5),7.0,ATR,5.1,GenSep (Prep5),,,,GenSep (Prep5)
7,Τιθωνοῖο,Τιθωνός,n-s---mg-,GenSep (Prep5),5.0,ADV,5.1,GenSep (Prep5),,,,GenSep (Prep5)
8,ὤρνυθ',ὄρνυμι,v3siie---,"ImpfIter, Ind, MidDir",2.0,PRED_CO,5.2,ImpfIter,Ind,MidDir,,ImpfIter|Ind|MidDir
9,",",",",u--------,,10.0,AuxX,5.2,,,,,
10,ἵν',ἵνα,c--------,conj indeclform,8.0,AuxC,5.2,,,,,
11,ἀθανάτοισι,ἀθάνατος,a-p---md-,DatVerb,14.0,OBJ_CO,5.2,DatVerb,,,,DatVerb
12,φόως,φόως,n-s---na-,DatVerb,13.0,OBJ,5.2,DatVerb,,,,DatVerb
13,φέροι,φέρω,v3spoa---,AorNoni,10.0,ADV,5.2,AorNoni,,,,AorNoni
14,ἠδὲ,ἠδέ,c--------,conj indeclform,13.0,COORD,5.2,,,,,
15,βροτοῖσιν,βροτός,n-p---md-,DatVerb,14.0,OBJ_CO,5.2,DatVerb,,,,DatVerb
16,·,·,u--------,,0.0,AuxK,5.2,,,,,
1,οἱ,ὁ,l-p---mn-,"NomSubj, ArtSubs",3.0,ATR,5.3,NomSubj,ArtSubs,,,NomSubj|ArtSubs
2,δὲ,δέ,g--------,particle indeclform,8.0,AuxY,5.3,,,,,
3,θεοὶ,θεός,n-p---mn-,NomSubj,5.0,SBJ,5.3,NomSubj,,,,NomSubj
4,θῶκόνδε,θᾶκος,d--------,AccDirec.1,5.0,OBJ,5.3,AccDirec.1,,,,AccDirec.1
5,καθίζανον,καθιζάνω,v3piia---,"ImpfIter, Ind, Act",8.0,PRED_CO,5.3,ImpfIter,Ind,Act,,ImpfIter|Ind|Act
6,",",",",u--------,,8.0,AuxX,5.3,,,,,
7,ἐν,ἐν,r--------,Prep5,8.0,AuxP,5.3,,,,,
8,δ',δέ,g--------,particle indeclform,0.0,COORD,5.3,,,,,
9,ἄρα,ἄρα,g--------,particle indeclform,20.0,AuxY,5.3,,,,,
10,τοῖσι,ὁ,p-p---md-,"DatLoc (Prep3), Pron4",20.0,ADV,5.3,DatLoc (Prep3),,,,DatLoc (Prep3)
11,Ζεὺς,Ζεύς,n-s---mn-,NomSubj,20.0,SBJ,5.4,NomSubj,,,,NomSubj
12,ὑψιβρεμέτης,ὑψιβρεμέτης,n-s---mn-,NomSubj,11.0,ATR,5.4,NomSubj,,,,NomSubj
13,",",",",u--------,,17.0,AuxX,5.4,,,,,
14,οὗ,ἕ,p-s---mg-,"GenPos, Pron8",16.0,ATR,5.4,GenPos,,,,GenPos
15,τε,τε,g--------,particle indeclform,17.0,AuxY,5.4,,,,,
16,κράτος,κράτος,n-s---nn-,NomSubj,17.0,SBJ,5.4,NomSubj,,,,NomSubj
17,ἐστὶ,εἰμί,v3spia---,"PresIter.1., Ind, Act",11.0,ATR,5.4,PresIter.1.,Ind,Act,,PresIter.1.|Ind|Act
18,μέγιστον,μέγας,a-s---nn-,NomPred,17.0,PNOM,5.4,NomPred,,,,NomPred
19,.,.,u--------,,0.0,AuxK,5.4,,,,,
1,τοῖσι,ὁ,p-p---md-,DatVerb,4.0,OBJ,5.5,DatVerb,,,,DatVerb
2,δ',δέ,g--------,particle indeclform,0.0,COORD,5.5,,,,,
3,Ἀθηναίη,Ἀθήνη,n-s---fn-,NomSubj,4.0,SBJ,5.5,NomSubj,,,,NomSubj
4,λέγε,λέγω,v3siia---,"ImpfCons, Ind, Act",2.0,PRED_CO,5.5,ImpfCons,Ind,Act,,ImpfCons|Ind|Act
5,κήδεα,κῆδος,n-p---na-,AccObj,4.0,OBJ,5.5,AccObj,,,,AccObj
6,πόλλ',πολύς,a-p---na-,AccObj,5.0,ATR,5.5,AccObj,,,,AccObj
7,Ὀδυσῆος,̓ὀδυσσεύς,n-s---mg-,GenSubj,5.0,ATR,5.5,GenSubj,,,,GenSubj
8,μνησαμένη,μιμνήσκω,v-sapmfn-,"NomSubj, PartCirc.3",4.0,ADV,5.6,NomSubj,PartCirc.3,,,NomSubj|PartCirc.3
9,·,·,u--------,,0.0,AuxK,5.6,,,,,
