sentence_subdoc,sentence_id,document_id,ref,greek,lemma,pos,rel,syn,cite,didakta,didakta_tense,didakta_voice,didakta_mood
10.1-10.2,2277120,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,1,ἄλλοι,ἄλλος,a-p---mn-,5,ATR,urn:cts:greekLit:tlg0012.tlg001:10.1,NomSubj,,,
10.1-10.2,2277120,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,2,μὲν,μέν,g--------,7,AuxY,urn:cts:greekLit:tlg0012.tlg001:10.1,,,,
10.1-10.2,2277120,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,3,παρὰ,παρά,r--------,7,AuxP,urn:cts:greekLit:tlg0012.tlg001:10.1,,,,
10.1-10.2,2277120,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,4,νηυσὶν,ναῦς,n-p---fd-,3,ADV,urn:cts:greekLit:tlg0012.tlg001:10.1,DatLoc,,,
10.1-10.2,2277120,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,5,ἀριστῆες,ἀριστεύς,n-p---mn-,7,SBJ,urn:cts:greekLit:tlg0012.tlg001:10.1,NomSubj,,,
10.1-10.2,2277120,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,6,Παναχαιῶν,Παναχαιοί,n-p---mg-,5,ATR,urn:cts:greekLit:tlg0012.tlg001:10.1,GenPos,,,
10.1-10.2,2277120,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,7,εὗδον,εὕδω,v3piia---,0,PRED,urn:cts:greekLit:tlg0012.tlg001:10.2,ImpfIter_unknown_unknown,ImpfIter,unknown,
10.1-10.2,2277120,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,8,παννύχιοι,παννύχιος,a-p---mn-,5,ATV,urn:cts:greekLit:tlg0012.tlg001:10.2,NomSubj,,,
10.1-10.2,2277120,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,9,μαλακῷ,μαλακός,a-s---md-,11,ATR,urn:cts:greekLit:tlg0012.tlg001:10.2,DatVerb,,,
10.1-10.2,2277120,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,10,δεδμημένοι,δαμάζω,v-prpemn-,7,ADV,urn:cts:greekLit:tlg0012.tlg001:10.2,NomSubj_MidDir_unknown,NomSubj,MidDir,
10.1-10.2,2277120,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,11,ὕπνῳ,ὕπνος,n-s---md-,10,OBJ,urn:cts:greekLit:tlg0012.tlg001:10.2,DatLoc,,,
10.1-10.2,2277120,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,12,·,·,u--------,0,AuxK,,,,,
10.3-10.4,2277121,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,1,ἀλλ̓,ἀλλά,d--------,8,AuxY,urn:cts:greekLit:tlg0012.tlg001:10.3,,,,
10.3-10.4,2277121,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,2,οὐκ,οὐ,d--------,8,AuxZ,urn:cts:greekLit:tlg0012.tlg001:10.3,,,,
10.3-10.4,2277121,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,3,Ἀτρεΐδην,Ἀτρείδης,n-s---ma-,4,ATR,urn:cts:greekLit:tlg0012.tlg001:10.3,AccObj,,,
10.3-10.4,2277121,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,4,Ἀγαμέμνονα,Ἀγαμέμνων,n-s---ma-,14,OBJ_AP,urn:cts:greekLit:tlg0012.tlg001:10.3,AccObj,,,
10.3-10.4,2277121,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,5,ποιμένα,ποιμήν,n-s---ma-,14,OBJ_AP,urn:cts:greekLit:tlg0012.tlg001:10.3,AccObj,,,
10.3-10.4,2277121,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,6,λαῶν,λαός,n-p---mg-,5,ATR,urn:cts:greekLit:tlg0012.tlg001:10.3,GenPart,,,
10.3-10.4,2277121,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,7,ὕπνος,ὕπνος,n-s---mn-,8,SBJ,urn:cts:greekLit:tlg0012.tlg001:10.4,NomSubj,,,
10.3-10.4,2277121,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,8,ἔχε,ἔχω,v3siia---,0,PRED,urn:cts:greekLit:tlg0012.tlg001:10.4,Impf_unknown_unknown,Impf,unknown,
10.3-10.4,2277121,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,9,γλυκερὸς,γλυκερός,a-s---mn-,7,ATR,urn:cts:greekLit:tlg0012.tlg001:10.4,NomSubj,,,
10.3-10.4,2277121,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,10,πολλὰ,πολύς,a-p---na-,12,OBJ,urn:cts:greekLit:tlg0012.tlg001:10.4,AccObj,,,
10.3-10.4,2277121,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,11,φρεσὶν,φρήν,n-p----d-,12,ADV,urn:cts:greekLit:tlg0012.tlg001:10.4,DatLoc,,,
10.3-10.4,2277121,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,12,ὁρμαίνοντα,ὁρμαίνω,v-sppama-,14,ATV,urn:cts:greekLit:tlg0012.tlg001:10.4,AccObj_PartCirc_unknown,AccObj,PartCirc,
10.3-10.4,2277121,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,13,.,.,u--------,0,AuxK,,,,,
10.3-10.4,2277121,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,14,[0],,,8,APOS,,,,,
10.5-10.10,2277122,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,1,ὡς,ὡς,d--------,49,ADV,urn:cts:greekLit:tlg0012.tlg001:10.5,,,,
10.5-10.10,2277122,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,2,δ̓,δέ,g--------,44,AuxY,urn:cts:greekLit:tlg0012.tlg001:10.5,,,,
10.5-10.10,2277122,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,3,ὅτ̓,ὅτι,c--------,49,AuxC,urn:cts:greekLit:tlg0012.tlg001:10.5,,,,
10.5-10.10,2277122,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,4,ἂν,ἄν,g--------,5,AuxY,urn:cts:greekLit:tlg0012.tlg001:10.5,,,,
10.5-10.10,2277122,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,5,ἀστράπτῃ,ἀστράπτω,v3spsa---,3,ADV,urn:cts:greekLit:tlg0012.tlg001:10.5,SubjSubor_unknown_unknown,SubjSubor,unknown,
10.5-10.10,2277122,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,6,πόσις,πόσις,n-s---mn-,5,SBJ,urn:cts:greekLit:tlg0012.tlg001:10.5,NomSubj,,,
10.5-10.10,2277122,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,7,Ἥρης,Ἥρα,n-s---fg-,6,ATR,urn:cts:greekLit:tlg0012.tlg001:10.5,GenSep,,,
10.5-10.10,2277122,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,8,ἠϋκόμοιο,εὔκομος,a-s---fg-,7,ATR,urn:cts:greekLit:tlg0012.tlg001:10.5,GenSep,,,
10.5-10.10,2277122,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,9,τεύχων,τεύχω,v-sppamn-,5,ADV,urn:cts:greekLit:tlg0012.tlg001:10.6,NomSubj_PartCirc_unknown,NomSubj,PartCirc,
10.5-10.10,2277122,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,10,ἢ,ἤ,c--------,26,AuxY,urn:cts:greekLit:tlg0012.tlg001:10.6,,,,
