,ref,greek,lemma,pos,didakta,rel,syn,line,didakta_1,didakta_2,didakta_3,didakta_4,_error_center_index
259,14,νύμφῃ,νύμφη,n-s---fd-,DatVerb,16.0,OBJ,5.3,DatVerb,,,,265
263,18,βουλήν,βουλή,n-s---fa-,AccObj,19.0,OBJ_AP,5.3,AccObj,,,,265
265,20,νόστον,νόστος,n-s---ma-,AccResp,19.0,OBJ_AP,5.31,AccResp,,,,265
266,21,Ὀδυσσῆος,Ὀδυσσεύς,n-s---mg-,GenSubj,20.0,ATR,5.31,GenSubj,,,,265
274,29,θεῶν,θεός,n-p---mg-,GenSubj,32.0,ATR_CO,5.32,GenSubj,,,,265
2328,5,ἱστία,ἱστίον,n-p---na-,AccObj,4.0,OBJ,5.269,AccObj,,,,2334
2330,7,Ὀδυσσεύς,Ὀδυσσεύς,n-s---mn-,NomSubj,4.0,SBJ,5.269,NomSubj,,,,2334
2334,3,πηδαλίῳ,πηδάλιον,n-s---nd-,DatInstr,4.0,ADV,5.27,DatInstr,,,,2334
2342,11,ὕπνος,ὕπνος,n-s---mn-,NomSubj,14.0,SBJ,5.271,NomSubj,,,,2334
2344,13,βλεφάροισιν,βλέφαρον,n-p---nd-,DatLoc (Prep3),12.0,OBJ,5.271,DatLoc,,,,2334
2131,8,θεάων,θεά,n-p---fg-,GenPart,7.0,ATR,5.246,GenPart,,,,2147
2141,9,γόμφοισιν,γόμφος,n-p---md-,DatInstr,14.0,ADV_CO,5.248,DatInstr,,,,2147
2147,15,ἁρμονίῃσιν,ἁρμονία,n-p---fd-,DatInstr,14.0,ADV_CO,5.248,DatInstr,,,,2147
2153,4,ἔδαφος,ἔδαφος,n-s---na-,AccObj,6.0,OBJ,5.249,AccObj,,,,2147
2154,5,νηὸς,ναῦς,n-s---fg-,GenPart,4.0,ATR,5.249,GenPart,,,,2147
3423,26,δαίμων,δαίμων,n-s---mn-,NomSubj,25.0,SBJ,5.396,NomSubj,,,,3431
3430,33,θεοὶ,θεός,n-p---mn-,NomSubj,35.0,SBJ,5.397,NomSubj,,,,3431
3431,34,κακότητος,κακότης,n-s---fg-,GenVerb.1,35.0,OBJ,5.397,GenVerb,,,,3431
3435,38,Ὀδυσεῖ,Ὀδυσσεύς,n-s---md-,DatVerb,40.0,OBJ,5.398,DatVerb,,,,3431
3438,41,γαῖα,γαῖα,n-s---fn-,NomSubj,42.0,SBJ_CO,5.398,NomSubj,,,,3431
515,11,κέδρου,κέδρος,n-s---fg-,GenSep.1,15.0,ATR_CO,5.6,GenSep,,,,529
518,14,θύου,θύον,n-s---ng-,GenSep.1,15.0,ATR_CO,5.6,GenSep,,,,529
529,5,ὀπὶ,ὄψ,n-s---fd-,DatInstr,4.0,ADV,5.61,DatInstr,,,,529
531,7,ἱστὸν,ἱστός,n-s---ma-,AccObj,8.0,OBJ,5.62,AccObj,,,,529
534,10,κερκίδ',κερκίς,n-s---fd-,DatInstr,11.0,ADV,5.62,DatInstr,,,,529
2589,5,θεὰ,θεά,n-s---fn-,NomSubj,7.0,SBJ,5.3,NomSubj,,,,2601
2597,13,πόντῳ,πόντος,n-s---md-,DatLoc (Prep3),12.0,ADV,5.301,DatLoc,,,,2601
2601,17,γαῖαν,γαῖα,n-s---fa-,AccObj,18.0,OBJ,5.301,AccObj,,,,2601
2604,20,ἄλγε',ἄλγος,n-p---na-,AccObj,21.0,OBJ,5.302,AccObj,,,,2601
2615,2,νεφέεσσι,νέφος,n-p---nd-,DatInstr,3.0,ADV,5.303,DatInstr,,,,2601
1730,4,ἐδητύος,ἐδητύς,n-s---fg-,GenVerb,5.0,OBJ_CO,5.201,GenVerb,,,,1736
1732,6,ποτῆτος,ποτής,n-s---fg-,GenVerb,5.0,OBJ_CO,5.201,GenVerb,,,,1736
1736,10,μύθων,μῦθος,n-p---mg-,GenVerb,11.0,OBJ,5.202,GenVerb,,,,1736
1738,12,Καλυψώ,Καλυψώ,n-s---fn-,NomSubj,13.0,SBJ_AP,5.202,NomSubj,,,,1736
1741,15,θεάων,θεά,n-p---fg-,NomInd,14.0,ATR,5.202,NomInd,,,,1736
8636,2274334.6,θεά,θεά,n-s---fv-,Voc.,2274334.7,ExD,Ref=1.401,Voc,,,,8648
8638,2274334.8,δεσμός,δεσμῶν,n-p---mg-,GenSep. ,2274334.7,OBJ,Ref=1.401|SpaceAfter=No,GenSep,,,,8648
8648,2274334.18,Βριάρεως,Βριάρεων,n-s---ma-,AccDoubl.,2274334.19,OCOMP,Ref=1.403,AccDoubl,,,,8648
8650,2274334.2,θεός,θεοί,n-p---mn-,NomSubj.,2274334.19,SBJ,Ref=1.403|SpaceAfter=No,NomSubj,,,,8648
8653,2274334.22,ἀνήρ,ἄνδρες,n-p---mn-,NomSubj.,2274334.36,SBJ,Ref=1.403,NomSubj,,,,8648
8625,2274333.32,Ἀθήνη,Ἀθήνη,n-s---fn-,NomSubj.,2274333.3,SBJ_AP_CO,Ref=1.400|SpaceAfter=No,NomSubj,,,,8638
8636,2274334.6,θεά,θεά,n-s---fv-,Voc.,2274334.7,ExD,Ref=1.401,Voc,,,,8638
8638,2274334.8,δεσμός,δεσμῶν,n-p---mg-,GenSep. ,2274334.7,OBJ,Ref=1.401|SpaceAfter=No,GenSep,,,,8638
8648,2274334.18,Βριάρεως,Βριάρεων,n-s---ma-,AccDoubl.,2274334.19,OCOMP,Ref=1.403,AccDoubl,,,,8638
8650,2274334.2,θεός,θεοί,n-p---mn-,NomSubj.,2274334.19,SBJ,Ref=1.403|SpaceAfter=No,NomSubj,,,,8638
3803,4,ποταμοῖο,ποταμός,n-s---mg-,GenPos,6.0,ATR,5.441,GenPos,,,,3818
3814,15,χῶρος,χῶρος,n-s---mn-,NomSubj,14.0,SBJ,5.442,NomSubj,,,,3818
3818,19,πετράων,πέτρα,n-p---fg-,GenObj.6,18.0,ATR,5.443,GenObj,,,,3818
3822,23,σκέπας,σκέπας,n-s---nn-,NomPred,24.0,SBJ,5.443,NomPred,,,,3818
3824,25,ἀνέμοιο,ἄνεμος,n-s---mg-,GenObj.6 ,23.0,ATR,5.443,GenObj,,,,3818
4344,2274106.49,Ἀχιλλεύς,Ἀχιλλεύς,n-s---mn-,NomSubj.,2274106.47,SBJ_CO,Ref=1.7|SpaceAfter=No,NomSubj,,,,4355
4354,2274107.5,θεός,θεῶν,n-p---mg-,GenPart.,2274107.1,ATR,Ref=1.8,GenPart,,,,4355
